project_folder,hero_source,hero_output,hero_width,hero_height,slideshow_count,slideshow_folder
Asphalting,Asphalting/WhatsApp Image 2025-02-13 at 09.33.11_81a64ca0.jpg,hero/asphalting.webp,1600,900,4,slideshow/asphalting
CIVIL/Havelock 1,CIVIL/Havelock 1/Screed 1.jpeg,hero/civil__havelock-1.webp,1600,900,8,slideshow/civil/havelock-1
CIVIL/SEPCO,CIVIL/SEPCO/Paint 4.jpeg,hero/civil__sepco.webp,1600,900,4,slideshow/civil/sepco
CIVIL/SINOMA/Civil foundation work,CIVIL/SINOMA/Civil foundation work/c.jpg,hero/civil__sinoma__civil-foundation-work.webp,1600,900,8,slideshow/civil/sinoma/civil-foundation-work
CIVIL/SINOMA/Finishing work,CIVIL/SINOMA/Finishing work/plaster.jpg,hero/civil__sinoma__finishing-work.webp,1600,900,6,slideshow/civil/sinoma/finishing-work
CIVIL/TR,CIVIL/TR/tr2.jpeg,hero/civil__tr.webp,1600,900,4,slideshow/civil/tr
Electrical/Substation,Electrical/Substation/Panel 04.jpeg,hero/electrical__substation.webp,1600,900,10,slideshow/electrical/substation
Ethernet Cable,Ethernet Cable/WhatsApp Image 2025-07-08 at 5.18.09 PM.jpeg,hero/ethernet-cable.webp,1600,900,4,slideshow/ethernet-cable
Fire-Fighting System/Sprinkler,Fire-Fighting System/Sprinkler/01.jpg,hero/fire-fighting-system__sprinkler.webp,1600,900,10,slideshow/fire-fighting-system/sprinkler
"MV Cable Pictures/MV Cable Splicing,","MV Cable Pictures/MV Cable Splicing,/MV Cable Splicing 01.jpeg",hero/mv-cable-pictures__mv-cable-splicing.webp,1600,900,6,slideshow/mv-cable-pictures/mv-cable-splicing
Telecommunication/OLD,Telecommunication/OLD/WhatsApp Image 2025-02-13 at 09.35.13_efafa2ad.jpg,hero/telecommunication__old.webp,1600,900,9,slideshow/telecommunication/old
Telecommunication/SEPCO,Telecommunication/SEPCO/WhatsApp Image 2025-07-08 at 4.16.28 PM.jpg,hero/telecommunication__sepco.webp,1600,900,4,slideshow/telecommunication/sepco
Telecommunication/SEPCO/OPGW,Telecommunication/SEPCO/OPGW/OPGW2.jpg,hero/telecommunication__sepco__opgw.webp,1600,900,4,slideshow/telecommunication/sepco/opgw
